Process,Time
process_1,1.0,9
process_3,1.0,2
process_4,1.0,3
process_0,9.436407373200048,7
process_8,3.263649811206662,9
process_7,3.3929409651849998,2
process_10,3.7412500686819747,9
process_11,4.646525462856953,6
process_12,5.287219041503505,7
process_2,13.959880587166351,9
process_6,8.088346302651452,9
process_13,5.879840033372506,3
process_5,11.911653697348548,4
process_9,10.76617791318713,7
process_19,3.9727881999397816,1
process_18,5.196229120632463,7
process_16,11.013515681888173,8
process_20,5.285666131783529,9
process_21,4.83343486380717,6
process_23,5.431315838992546,2
process_17,9.588117386195709,7
process_14,19.297179280885224,2
process_15,21.455895092160404,6
process_27,10.59401267726562,3
process_29,9.479301149260028,7
process_31,10.759279868001816,3
process_32,10.596953688790052,2
process_34,8.999572206959044,5
process_35,8.999516402049125,9
process_22,20.439964486126954,9
process_26,23.284819484917037,6
process_24,27.04989321570415,6
process_40,13.435892262387569,9
process_25,27.97856246382703,5
process_41,12.835608607413441,7
process_43,13.105163509307495,8
process_30,25.854613086810506,9
process_45,14.670004378900131,5
process_33,27.05478394209554,2
process_46,16.891794946619946,9
process_28,32.85228069464773,4
process_48,14.902323695775507,5
process_49,15.196461317430987,10
process_37,26.957019306680024,6
process_52,16.639596664484984,1
process_39,29.037725738438013,4
process_36,31.067457225373488,9
process_53,17.958798816454518,5
process_55,16.321400200840323,6
process_38,33.806530748208935,4
process_57,14.92215880600893,7
process_44,31.67642619694486,6
process_56,18.784924353911514,5
process_42,34.82729428086074,9
process_58,16.124384398169667,7
process_60,14.364396405082672,3
process_47,33.27014540262049,10
process_62,12.38905925892513,3
process_63,13.295669015490432,10
process_66,14.024156807721653,5
process_50,37.39796591670646,1
process_67,14.826873824415784,4
process_51,37.06564716046568,6
process_69,12.370940337204345,2
process_54,34.948646002562846,7
process_71,13.673052620565002,9
process_72,12.64102147766367,8
process_73,13.63242270657399,6
process_74,14.485982375934512,8
process_76,13.738485759103966,7
process_78,14.864425642022255,7
process_79,15.536211405746343,5
process_81,15.224347797026397,6
process_59,38.53546493663303,8
process_85,18.945324827145242,2
process_61,37.96774476188135,3
process_86,17.762700764616724,9
process_64,37.49805876408979,9
process_68,34.72564392683405,9
process_89,19.796413944865265,1
process_65,40.1606823435105,2
process_88,21.712313286531383,7
process_90,20.069272620109246,2
process_70,35.97093257084889,3
process_93,21.957403057293988,5
process_92,22.471963091923143,2
process_94,21.81420363284549,6
process_95,21.806237138993467,2
process_97,22.373899907864498,1
process_77,39.59899201511196,4
process_98,25.224198732055896,7
process_100,21.319573818075924,6
process_80,39.860262561612856,6
process_75,43.1478154013997,4
process_101,23.299416027463877,7
process_82,40.29362300340797,3
process_103,22.893199035249637,4
process_105,24.29794132686932,3
process_106,25.055840187117838,7
process_83,44.10889265321556,1
process_84,44.62601133087158,6
process_107,25.35462351356034,9
process_108,25.625278220002244,6
process_87,42.93471254953492,4
process_110,24.706009452660027,3
process_111,25.62875371681676,10
process_113,25.045557490311197,5
process_112,26.58817761754078,8
process_115,26.83936515229692,10
process_116,27.524988844472304,10
process_91,47.74052884501944,5
process_120,27.46820602565515,8
process_121,28.363748810380088,1
process_122,27.603090398132537,9
process_123,27.08834630265143,10
process_124,26.91165369734857,9
process_99,51.422200616419204,1
process_96,55.3366011544514,5
process_127,25.925676920516338,8
process_128,24.088346302651416,9
process_104,51.008291868681056,1
process_131,26.0,10
process_130,27.911653697348584,8
process_133,29.0,6
process_102,58.25143978908365,9
process_138,30.911653697348584,2
process_114,59.96476940901336,8
process_109,64.5627434532703,9
process_118,57.81365542648206,1
process_117,64.66601095948961,7
process_119,64.9893072720276,6
process_149,32.6343419076305,8
process_125,62.48829041397366,6
process_129,58.0,2
process_126,61.370003791179585,7
process_132,56.911653697348584,3
process_134,55.088346302651416,6
process_135,54.0,7
process_136,53.088346302651416,10
process_139,51.911653697348584,7
process_137,53.0,7
process_140,52.67698645234714,3
process_142,47.0,9
process_141,51.92814328367612,8
process_145,42.80383085958454,4
process_143,46.477289451234014,2
process_147,42.24546369889006,4
process_144,44.73729385739006,7
process_148,41.733710333392025,2
process_146,45.44673822178609,1
