Process,Time
process_1,1.0,2
process_3,1.0,8
process_5,1.0,8
process_0,9,3
process_6,1.2848569120036615,10
process_7,1.0,9
process_2,9.874528945485558,8
process_8,1.0,7
process_4,9.0,7
process_10,4.0,4
process_11,1.0,9
process_12,1.7526601336137624,5
process_13,1.0,5
process_15,1.0,8
process_9,9.250008537605694,8
process_16,1.702127745062004,7
process_17,1.2918256795416667,6
process_21,3.343366174277424,9
process_14,9.0,9
process_20,7.159354626604124,10
process_22,3.321715922598962,9
process_18,9.713859699385836,9
process_19,10.25099426585976,1
process_24,1.0,7
process_23,8.999999999999996,9
