Process,Time,,,Time,
process_1,20.11984373,2,,,
process_7,15.76111832,1,,Media,169.9348197
process_8,16.73534311,9,,Error típico,5.738275552
process_19,51.76660961,7,,Mediana,165
process_20,52.3091291,6,,Moda,80
process_25,64.50077725,3,,Desviación estándar,81.15147111
process_2,110.9943727,8,,Varianza de la muestra,6585.561263
process_3,122.9399888,2,,Curtosis,-0.855153545
process_10,121.641924,9,,Coeficiente de asimetría,0.306442634
process_11,121.1992667,9,,Rango,339.7542742
process_14,122.1799498,3,,Mínimo,15.76111832
process_4,144.9112318,7,,Máximo,355.5153925
process_16,127.2953245,9,,Suma,33986.96395
process_5,151.976171,1,,Cuenta,200
process_38,87,4,,,
process_40,90,5,,,
process_23,145.5792546,1,,94.5017636,25
process_0,174,3,,153.059279,50
process_41,84,2,,163.759639,100
process_27,146.2763332,9,,161.69976,150
process_9,172.9360134,4,,169.93482,200
process_28,155.7580551,10,,,
process_43,77,10,,,
process_44,80,2,,,
process_35,176.5169785,7,,,
process_45,85,9,,,
process_13,208.7334167,7,,,
process_12,212.7750768,4,,,
process_47,82,2,,,
process_15,214.0511046,6,,,
process_6,235.6664743,4,,,
process_17,218.9338258,9,,,
process_18,222.0446582,1,,,
process_51,83,4,,,
process_52,86,1,,,
process_22,229.8988845,6,,,
process_21,234.7311631,3,,,
process_26,240.8031429,4,,,
process_55,83,9,,,
process_56,84,7,,,
process_29,242.1434756,5,,,
process_30,242.204569,1,,,
process_42,165,5,,,
process_32,242.4436633,1,,,
process_31,245.673687,9,,,
process_34,244.1804215,9,,,
process_33,247.4033643,10,,,
process_58,80,2,,,
process_59,83,5,,,
process_60,80,5,,,
process_46,172,8,,,
process_67,88,8,,,
process_68,84,5,,,
process_49,180,2,,,
process_37,255,6,,,
process_50,175,9,,,
process_39,264,2,,,
process_24,315.3639441,10,,,
process_73,77,2,,,
process_74,79,3,,,
process_79,85,9,,,
process_80,85,7,,,
process_57,165,3,,,
process_63,166,7,,,
process_36,355.5153925,9,,,
process_87,84,1,,,
process_48,260,6,,,
process_90,81,8,,,
process_91,82,3,,,
process_53,256,9,,,
process_75,166,5,,,
process_54,262,4,,,
process_76,171,5,,,
process_94,78,6,,,
process_77,176,5,,,
process_81,184,3,,,
process_83,172,9,,,
process_66,261,2,,,
process_85,167,8,,,
process_84,171,5,,,
process_86,171,1,,,
process_88,175,1,,,
process_102,85,6,,,
process_103,85,8,,,
process_71,253,2,,,
process_70,257,6,,,
process_72,248,9,,,
process_92,164,9,,,
process_93,167,8,,,
process_105,80,5,,,
process_108,76,10,,,
process_97,163,2,,,
process_96,166,7,,,
process_78,257,10,,,
process_98,161,2,,,
process_82,251,10,,,
process_111,73,1,,,
process_61,329,1,,,
process_62,330,3,,,
process_65,321,7,,,
process_113,64,3,,,
process_100,157,6,,,
process_114,65,6,,,
process_115,68,3,,,
process_64,332,4,,,
process_116,67,5,,,
process_89,230,10,,,
process_101,151,4,,,
process_69,332,6,,,
process_121,67,3,,,
process_104,149,6,,,
process_106,144,10,,,
process_126,67,8,,,
process_109,147,1,,,
process_127,63,10,,,
process_129,68,3,,,
process_132,73,8,,,
process_137,76,1,,,
process_99,237,10,,,
process_138,79,6,,,
process_142,87,3,,,
process_117,147,10,,,
process_120,146,3,,,
process_122,158,4,,,
process_125,159,7,,,
process_146,87,9,,,
process_147,88,5,,,
process_95,316,5,,,
process_107,248,2,,,
process_110,240,5,,,
process_112,240,6,,,
process_134,168,4,,,
process_136,163,10,,,
process_139,172,5,,,
process_157,89,1,,,
process_118,235,3,,,
process_123,252,7,,,
process_124,252,8,,,
process_162,95,7,,,
process_164,98,1,,,
process_130,264,5,,,
process_152,196,8,,,
process_135,260,4,,,
process_133,264,6,,,
process_154,185,2,,,
process_141,270,10,,,
process_140,272,3,,,
process_158,180,5,,,
process_159,180,9,,,
process_144,263,1,,,
process_119,331,6,,,
process_145,269,7,,,
process_160,176,10,,,
process_163,184,4,,,
process_149,275,2,,,
process_150,271,7,,,
process_151,272,6,,,
process_128,338,6,,,
process_175,77,5,,,
process_131,341,3,,,
process_168,172,9,,,
process_153,269,10,,,
process_155,269,7,,,
process_156,272,4,,,
process_180,81,7,,,
process_182,82,10,,,
process_143,348,4,,,
process_173,165,1,,,
process_186,79,9,,,
process_174,163,9,,,
process_161,261,3,,,
process_165,263,1,,,
process_187,80,7,,,
process_148,349,3,,,
process_188,74,8,,,
process_189,75,3,,,
process_166,263,2,,,
process_167,255,5,,,
process_194,82,1,,,
process_176,157,9,,,
process_178,159,7,,,
process_169,254,8,,,
process_179,161,4,,,
process_170,243,9,,,
process_181,161,7,,,
process_171,238,10,,,
process_172,236,7,,,
process_190,127,10,,,
process_191,125,4,,,
process_177,202,1,,,
process_195,108,9,,,
process_198,103,4,,,
process_197,107,8,,,
process_185,177,8,,,
process_183,189,5,,,
process_184,185,3,,,
process_192,149,2,,,
process_193,148,8,,,
process_196,127,7,,,
process_199,130,1,,,
