Process,Time
process_0,1,2
process_1,1.0,1
process_6,5.422805187255135,3
process_8,5.391694711731676,5
process_2,9.0,3
process_7,7.977790166001267,3
process_12,10.153022299218895,1
process_3,13.999999999999998,9
process_13,10.38952735594344,3
process_16,8.552709353523738,10
process_4,18.922938000772493,4
process_17,8.261478047812844,2
process_5,19.772781097908787,4
process_9,17.669562146217835,4
process_10,18.555997575230307,10
process_19,6.625399390028861,7
process_21,6.934507281696522,3
process_22,7.1146331662903535,8
process_15,17.54261261337941,4
process_23,7.444312209044131,4
process_11,24.53867382239665,6
process_25,9.569720159528199,9
process_14,23.34274219788912,4
process_28,8.075861565208019,3
process_18,21.89082091477851,9
process_20,21.160514468325744,7
process_32,8.241576799053604,6
process_26,20.350226705500315,6
process_24,24.27264385481047,1
process_36,11.560367539593145,2
process_40,14.630526699145044,9
process_30,24.94106757722041,6
process_41,13.980412513895779,10
process_27,28.361812504063032,1
process_31,23.696272687746003,1
process_29,29.53399353934192,2
process_42,16.089826714190053,7
process_43,14.165383549757898,6
process_44,14.135331796290693,2
process_34,23.879270324065814,7
process_45,13.421186991399011,9
process_46,12.659827298904432,10
process_47,13.490539215999632,3
process_33,28.334919777514422,2
process_49,13.66128746917466,4
process_50,14.557230729058347,8
process_51,13.310958788739029,5
process_38,27.023355141527325,6
process_52,12.584895090220108,6
process_35,29.22301243405191,1
process_53,11.623169744430996,6
process_55,11.208626806068992,3
process_37,30.149843771680693,6
process_39,34.9462982801143,9
process_59,14.22270081739687,8
process_58,17.59442639139357,1
process_60,15.043108124421224,9
process_62,14.335146905234993,8
process_63,17.05672784674372,9
process_65,17.463551269567148,10
process_48,32.956448292288286,5
process_67,15.260830089721651,6
process_54,29.594039918381483,6
process_56,31.943568180733337,10
process_72,17.43537326171341,5
process_75,17.091114578894178,7
process_74,19.191322024779694,8
process_57,37.81295766109118,5
process_76,17.972621207633537,6
process_78,18.662096104009606,6
process_79,18.772481825074706,1
process_80,18.511632084890394,2
process_83,19.144952924211836,5
process_61,42.033887988296904,2
process_84,19.670112496275863,2
process_86,20.103214343730002,4
process_66,38.444512102991055,2
process_87,21.8241680297306,7
process_88,21.76022111205799,6
process_68,38.31116838418312,9
process_64,44.6638346587457,4
process_90,22.325719990447737,3
process_69,38.183536592330285,10
process_70,39.00276255841234,5
process_91,19.58024564140976,10
process_71,39.64391161457911,10
process_92,19.704108059738886,9
process_93,20.05138766565949,5
process_94,19.1247508819429,9
process_95,17.99140212922441,1
process_97,17.904775061554034,1
process_73,43.507503336153775,8
process_99,19.434216724982136,1
process_101,18.860907103046983,9
process_102,19.22799181703921,5
process_100,22.307299228434147,6
process_81,40.46566703660518,5
process_103,20.26499075544885,4
process_104,20.11973934961513,1
process_82,41.43918934006224,3
process_77,44.76858922253217,5
process_106,18.402064122978246,2
process_107,19.155690555929795,3
process_108,17.794495033828426,8
process_109,20.440491882996213,5
process_111,21.156981161817853,4
process_112,21.121482597984794,4
process_113,20.659000642861002,5
process_85,47.14635501786823,4
process_114,20.909901090903006,1
process_89,48.604525337551124,8
process_117,20.2955396352054,10
process_118,20.112894245690654,7
process_96,40.08278256321459,9
process_121,19.571071714533403,3
process_122,19.643061658032877,8
process_124,22.204942094225004,6
process_125,22.108170912740476,8
process_98,47.749979640029565,1
process_126,24.93634087499072,9
process_128,22.99685509491222,1
process_105,43.515270703621965,1
process_129,25.039959292740107,9
process_132,25.253279697169603,4
process_133,27.969630133366692,5
process_110,48.3804114171179,2
process_134,28.232460619469748,4
process_135,27.660707083572248,2
process_136,27.500121074499248,9
process_137,28.256878798080237,4
process_139,30.23940749925049,9
process_140,30.113333325051826,2
process_141,30.792228672755556,3
process_143,31.567524688865603,6
process_144,31.62669935373475,4
process_142,32.862220557252044,8
process_146,33.71686770266464,4
process_147,34.42132786213298,9
process_115,59.55330680768388,8
process_149,36.89175367320928,10
process_151,35.14379849295497,2
process_150,35.77229382588553,8
process_152,36.078799972559125,6
process_116,63.07131291935819,2
process_120,59.65217846920196,6
process_123,55.58923430070699,2
process_119,61.261613264949546,6
process_154,31.48599224684247,5
process_127,58.76172709330133,3
process_157,37.43625673736855,3
process_160,36.0,8
process_130,61.62129178205011,3
process_161,36.091419293973416,4
process_131,63.58811722459262,5
process_166,39.0,10
process_167,37.091419293973416,6
process_169,38.0,4
process_170,40.091419293973416,1
process_172,39.0,10
process_138,73.88372068423823,10
process_145,71.1360642990407,4
process_174,35.091419293973416,5
process_148,70.36712580449696,2
process_177,36.0,10
process_178,36.0,3
process_180,35.0,9
process_155,67.45433311786701,7
process_156,68.2091932822795,6
process_153,72.4980011423298,8
process_182,31.091419293973416,4
process_183,32.0,2
process_158,69.3735729130747,2
process_159,72.84076014322278,7
process_162,69.09141929397342,1
process_163,67.0,6
process_186,25.091419293973416,10
process_187,26.0,7
process_188,25.0,3
process_164,68.0,1
process_189,25.0,9
process_165,67.90858070602658,9
process_190,24.0,8
process_168,68.0,2
process_194,25.0,6
process_173,62.091419293973416,7
process_171,69.0,10
process_175,62.0,9
process_176,61.0,9
process_195,24.0,10
process_197,23.091419293973416,3
process_179,63.091419293973416,7
process_199,25.908580706026584,9
process_181,62.091419293973416,9
process_184,54.908580706026584,3
process_185,54.0,8
process_192,38.0,3
process_191,38.091419293973416,5
process_193,37.908580706026584,10
process_198,31.091419293973416,1
process_196,32.0,4
