Process,Time,,,Time,
process_0,20,3,,,
process_1,13.3912358,8,,Media,8.649907164
process_4,1,6,,Error típico,0.481208293
process_5,1.774249799,9,,Mediana,9
process_3,12,7,,Moda,12
process_2,17,2,,Desviación estándar,5.893573886
process_6,12,8,,Varianza de la muestra,34.73421315
process_7,17,4,,Curtosis,-0.566189777
process_8,1,5,,Coeficiente de asimetría,0.444104752
process_9,4,9,,Rango,25.67010096
process_10,12,9,,Mínimo,1
process_11,12,7,,Máximo,26.67010096
process_13,7,9,,Suma,1297.486075
process_14,9,1,,Cuenta,150
process_12,19.14212089,8,,,
process_15,9,4,,,
process_16,9,8,,,
process_17,3,9,,,
process_18,1,7,,,
process_19,9,10,,,
process_20,12,9,,,
process_21,14,9,,,
process_23,1,1,,,
process_26,4.824704137,10,,,
process_22,19,3,,,
process_25,12.38198713,4,,,
process_24,13.34918335,1,,,
process_27,10,5,,,
process_29,1,5,,,
process_28,17,5,,,
process_30,12,10,,,
process_31,3,1,,,
process_32,4,9,,,
process_33,1,9,,,
process_34,1,7,,,
process_35,1,4,,,
process_36,4,5,,,
process_37,1,3,,,
process_38,4,10,,,
process_39,9.381416057,10,,,
process_41,8.957218286,10,,,
process_40,11.61858394,4,,,
process_42,20.00680441,6,,,
process_43,12,6,,,
process_44,12,2,,,
process_45,3,3,,,
process_46,4,9,,,
process_49,1,9,,,
process_47,11,6,,,
process_50,3,7,,,
process_48,12,10,,,
process_53,1,5,,,
process_51,9,10,,,
process_52,9,2,,,
process_56,1.260454526,3,,,
process_55,9,1,,,
process_54,12,2,,,
process_57,7,7,,,
process_59,4,1,,,
process_58,6,4,,,
process_60,1,7,,,
process_61,15,6,,,
process_62,3,5,,,
process_63,4,4,,,
process_64,1,8,,,
process_65,12,4,,,
process_66,15,6,,,
process_70,3.043390037,9,,,
process_68,9.349121472,4,,,
process_69,10.14327705,4,,,
process_72,3,3,,,
process_67,26.67010096,9,,,
process_71,11,9,,,
process_73,20,9,,,
process_74,19,3,,,
process_75,3,9,,,
process_76,4,4,,,
process_77,12,9,,,
process_78,3,6,,,
process_79,12,1,,,
process_80,3,10,,,
process_81,12.30278052,5,,,
process_83,8.622166803,9,,,
process_82,12.69721948,4,,,
process_84,12,8,,,
process_86,4,4,,,
process_85,6,9,,,
process_88,4,3,,,
process_87,17.45154869,3,,,
process_90,1,9,,,
process_89,12,6,,,
process_91,20,3,,,
process_92,12,7,,,
process_93,20,3,,,
process_94,9,5,,,
process_96,9,10,,,
process_95,19,4,,,
process_97,4,9,,,
process_98,3,8,,,
process_99,4,2,,,
process_100,1,5,,,
process_101,15,2,,,
process_102,10.67969326,2,,,
process_103,7.320306741,9,,,
process_104,12.99154925,8,,,
process_106,8.480268174,7,,,
process_105,10.00075314,10,,,
process_107,9.340928221,10,,,
process_108,12,10,,,
process_109,3,7,,,
process_110,3,5,,,
process_111,4,6,,,
process_112,12,3,,,
process_113,1,9,,,
process_116,5.077546246,9,,,
process_114,12.72306524,10,,,
process_115,14.27693476,2,,,
process_117,6,4,,,
process_118,9,9,,,
process_119,4,10,,,
process_120,4,8,,,
process_121,20,5,,,
process_122,12,6,,,
process_123,17,10,,,
process_124,9.290813614,10,,,
process_128,1,1,,,
process_126,9,4,,,
process_125,17,3,,,
process_127,12,4,,,
process_129,1,5,,,
process_130,4,2,,,
process_131,3,7,,,
process_132,12,5,,,
process_134,1,4,,,
process_133,9,8,,,
process_135,11,8,,,
process_136,1,3,,,
process_139,2.019463074,5,,,
process_138,4.411840745,7,,,
process_137,19,3,,,
process_140,20.50534873,1,,,
process_141,4,3,,,
process_142,9,6,,,
process_143,15,1,,,
process_144,14,6,,,
process_145,12,9,,,
process_146,3,2,,,
process_147,12,4,,,
process_149,1,9,,,
process_148,6,2,,,
