Process,Time,,,Time,
process_1,2.599218673,5,,,
process_0,25,3,,Media,26.07440813
process_5,3.458788671,6,,Error típico,2.43365403
process_6,4.345913571,9,,Mediana,22.59486457
process_2,15.17892477,7,,Moda,#N/D
process_4,12.85119353,8,,Desviación estándar,17.20853268
process_3,19.68611976,1,,Varianza de la muestra,296.1335969
process_7,4,6,,Curtosis,-0.069907567
process_8,18,1,,Coeficiente de asimetría,0.773806037
process_9,12.91221379,3,,Rango,68.55163901
process_10,15.26798778,6,,Mínimo,2.489086933
process_11,2.489086933,10,,Máximo,71.04072595
process_12,6,3,,Suma,1303.720406
process_17,18.14753237,9,,Cuenta,50
process_13,31.4496178,2,,,
process_14,27,9,,,
process_15,25.68567283,1,,,
process_16,38.46336682,10,,,
process_18,17.03928112,7,,,
process_22,10.89885726,4,,,
process_20,22.71652688,8,,,
process_24,8.922758663,2,,,
process_26,17.32644034,10,,,
process_27,18.2152438,3,,,
process_31,24.80920479,5,,,
process_25,40.90623737,4,,,
process_19,63.75820819,6,,,
process_23,55.89790876,2,,,
process_28,41.74193783,3,,,
process_33,18.50449304,1,,,
process_21,71.04072595,8,,,
process_32,46.34768679,9,,,
process_35,8.698406384,4,,,
process_34,31.55453092,9,,,
process_29,56.51843574,8,,,
process_30,56.9121681,5,,,
process_36,19.86920357,2,,,
process_38,22.47320225,7,,,
process_37,24.41399763,10,,,
process_42,10.24539891,5,,,
process_41,29.98080302,1,,,
process_40,35.73620381,2,,,
process_45,10.30423094,2,,,
process_39,48.34284069,4,,,
process_49,18.98349283,9,,,
process_46,29.37442523,5,,,
process_44,44.75927255,2,,,
process_43,53.39166315,6,,,
process_47,29.79036051,6,,,
process_48,31.71062195,10,,,
