Process,Time,,,Time,
process_1,20.11984373,2,,,
process_7,15.76111832,1,,Media,87.89263403
process_8,16.73534311,9,,Error típico,3.46072738
process_19,51,7,,Mediana,85
process_20,52,6,,Moda,42
process_2,80.99437268,8,,Desviación estándar,42.3850811
process_3,80.93998882,2,,Varianza de la muestra,1796.495099
process_10,73.64192405,9,,Curtosis,-0.887252602
process_11,73.19926674,9,,Coeficiente de asimetría,0.290723172
process_14,74.17994984,3,,Rango,173.2388817
process_4,96.91123179,7,,Mínimo,15.76111832
process_16,79.29532447,9,,Máximo,189
process_5,103.976171,1,,Suma,13183.8951
process_0,121,3,,Cuenta,150
process_25,40,3,,,
process_9,120.9360134,4,,,
process_13,117.7334167,7,,,
process_12,121.7750768,4,,,
process_15,119.0511046,6,,,
process_6,134.6664743,4,,,
process_18,129.0446582,1,,,
process_17,133.9338258,9,,,
process_23,84,1,,,
process_27,84,9,,,
process_28,85,10,,,
process_21,125,3,,,
process_22,128,6,,,
process_26,122,4,,,
process_38,40,4,,,
process_35,87,7,,,
process_40,41,5,,,
process_41,42,2,,,
process_29,133,5,,,
process_30,134,1,,,
process_31,139,9,,,
process_32,136,1,,,
process_43,43,10,,,
process_44,43,2,,,
process_24,171,10,,,
process_33,126,10,,,
process_34,123,9,,,
process_45,36,9,,,
process_47,39,2,,,
process_42,87,5,,,
process_37,123,6,,,
process_51,33,4,,,
process_52,36,1,,,
process_39,116,2,,,
process_55,36,9,,,
process_56,36,7,,,
process_58,40,2,,,
process_59,40,5,,,
process_60,43,5,,,
process_46,84,8,,,
process_36,161,9,,,
process_49,84,2,,,
process_50,85,9,,,
process_67,44,8,,,
process_68,45,5,,,
process_57,82,3,,,
process_73,42,2,,,
process_74,45,3,,,
process_48,130,6,,,
process_63,91,7,,,
process_53,120,9,,,
process_54,126,4,,,
process_79,46,9,,,
process_75,86,5,,,
process_80,42,7,,,
process_76,93,5,,,
process_66,135,2,,,
process_77,94,5,,,
process_61,175,1,,,
process_70,133,6,,,
process_62,173,3,,,
process_71,129,2,,,
process_72,123,9,,,
process_87,41,1,,,
process_89,39,3,,,
process_81,90,3,,,
process_65,175,7,,,
process_90,39,4,,,
process_64,189,4,,,
process_78,130,10,,,
process_69,175,6,,,
process_93,37,6,,,
process_83,70,9,,,
process_84,71,6,,,
process_94,27,6,,,
process_85,69,8,,,
process_88,70,1,,,
process_86,71,1,,,
process_82,116,10,,,
process_92,68,9,,,
process_102,33,5,,,
process_104,38,6,,,
process_107,42,10,,,
process_109,40,9,,,
process_97,69,2,,,
process_96,78,7,,,
process_98,72,5,,,
process_91,108,7,,,
process_112,42,3,,,
process_114,47,3,,,
process_101,85,4,,,
process_115,46,5,,,
process_105,83,10,,,
process_117,42,4,,,
process_108,94,1,,,
process_110,87,1,,,
process_120,45,3,,,
process_121,45,5,,,
process_99,123,9,,,
process_100,126,3,,,
process_103,124,4,,,
process_126,46,10,,,
process_106,132,2,,,
process_128,46,3,,,
process_116,96,10,,,
process_95,163,5,,,
process_119,88,3,,,
process_130,36,10,,,
process_131,39,1,,,
process_111,129,6,,,
process_113,128,2,,,
process_125,93,3,,,
process_137,43,6,,,
process_122,138,8,,,
process_123,126,9,,,
process_124,126,1,,,
process_135,78,10,,,
process_142,37,3,,,
process_118,180,6,,,
process_138,83,5,,,
process_139,92,9,,,
process_133,121,6,,,
process_132,122,9,,,
process_134,120,4,,,
process_147,36,9,,,
process_148,34,5,,,
process_127,166,6,,,
process_136,122,2,,,
process_129,163,7,,,
process_144,85,8,,,
process_149,57,8,,,
process_140,131,8,,,
process_145,87,6,,,
process_146,90,3,,,
process_143,108,4,,,
process_141,121,2,,,
