Process,Time,,,Time,
process_1,2.599218673,5,,,
process_0,25,3,,Media,40.40587152
process_5,3.458788671,6,,Error típico,1.815505879
process_6,4.345913571,9,,Mediana,36.09645321
process_2,15.17892477,7,,Moda,#N/D
process_4,12.85119353,8,,Desviación estándar,25.67513037
process_3,19.68611976,1,,Varianza de la muestra,659.2123197
process_7,4,6,,Curtosis,0.16265737
process_8,18,1,,Coeficiente de asimetría,0.770270714
process_9,12.91221379,3,,Rango,121.0205825
process_10,15.26798778,6,,Mínimo,2.489086933
process_11,2.489086933,10,,Máximo,123.5096695
process_12,6,3,,Suma,8081.174304
process_17,18.14753237,9,,Cuenta,200
process_13,31.4496178,2,,,
process_14,27,9,,,
process_15,25.68567283,1,,18.1123962,25
process_16,38.46336682,10,,26.0744081,50
process_18,17.03928112,7,,29.1914179,100
process_22,10.89885726,4,,35.1804907,150
process_20,22.71652688,8,,40.4058715,200
process_24,8.922758663,2,,,
process_26,17.32644034,10,,,
process_27,18.2152438,3,,,
process_31,24.80920479,5,,,
process_25,40.90623737,4,,,
process_19,63.75820819,6,,,
process_23,55.89790876,2,,,
process_28,41.74193783,3,,,
process_33,18.50449304,1,,,
process_21,71.04072595,8,,,
process_32,46.34768679,9,,,
process_35,8.698406384,4,,,
process_34,31.55453092,9,,,
process_29,56.51843574,8,,,
process_30,56.9121681,5,,,
process_36,19.86920357,2,,,
process_38,22.47320225,7,,,
process_37,24.41399763,10,,,
process_42,10.24539891,5,,,
process_41,29.98080302,1,,,
process_40,35.73620381,2,,,
process_45,10.30423094,2,,,
process_39,48.34284069,4,,,
process_49,18.98349283,9,,,
process_50,18.04983966,7,,,
process_53,21.64997663,10,,,
process_44,49.75927255,2,,,
process_46,38.37442523,5,,,
process_43,61.39166315,6,,,
process_47,37.79036051,6,,,
process_54,18.44149049,5,,,
process_51,49.65780354,3,,,
process_58,26.7889838,3,,,
process_48,68.71062195,10,,,
process_56,43.0746668,1,,,
process_52,71.04872008,10,,,
process_59,48.93342594,9,,,
process_60,45.93856376,2,,,
process_61,41.66007845,1,,,
process_65,17.97207736,6,,,
process_55,61.68608409,2,,,
process_62,43.17810761,7,,,
process_57,69.70489406,2,,,
process_69,12.92470705,9,,,
process_64,46.13701727,3,,,
process_67,32.40301203,4,,,
process_72,17.71032364,3,,,
process_66,53.39872276,4,,,
process_63,87.63600535,6,,,
process_68,44.30008982,4,,,
process_70,41.39340081,6,,,
process_74,4.601849804,9,,,
process_71,47.22999361,2,,,
process_75,14.35296285,4,,,
process_77,12.7779739,6,,,
process_73,38.74638795,6,,,
process_76,38.83260389,9,,,
process_78,41.28615199,1,,,
process_84,17.977031,4,,,
process_81,28.38330177,9,,,
process_82,25.90856157,4,,,
process_79,34.57221837,5,,,
process_86,14.92414457,10,,,
process_80,38.42082811,4,,,
process_83,37.03156668,4,,,
process_85,31.24715046,5,,,
process_89,16.5304801,2,,,
process_88,31.86715339,7,,,
process_90,16.85423189,8,,,
process_87,40.22480252,4,,,
process_91,7.116025284,10,,,
process_93,2.57346638,9,,,
process_92,5,5,,,
process_94,9,10,,,
process_95,3,5,,,
process_97,12.37466318,9,,,
process_96,20.45677486,5,,,
process_98,23,4,,,
process_100,29.56599865,2,,,
process_99,46.44307215,2,,,
process_101,43.22615202,7,,,
process_108,22.88705093,9,,,
process_102,54.57156574,2,,,
process_103,58.24289829,9,,,
process_104,57.17012826,2,,,
process_111,19.9494587,3,,,
process_109,42.21251297,7,,,
process_114,22.74949004,9,,,
process_117,29.70908661,9,,,
process_106,77.35481771,10,,,
process_107,75.72541461,3,,,
process_119,33.68181883,5,,,
process_105,95.76067303,5,,,
process_112,55.50364658,9,,,
process_110,86.33727438,1,,,
process_126,30.57631138,10,,,
process_120,69.29263391,9,,,
process_121,70.1376705,3,,,
process_127,35.91599016,3,,,
process_122,68.84455251,10,,,
process_113,91.67886081,5,,,
process_128,30.70052766,4,,,
process_115,91.17031349,10,,,
process_116,94.80878087,2,,,
process_130,27.83922635,3,,,
process_131,28.55455917,10,,,
process_124,71.55434124,10,,,
process_125,63.27148719,7,,,
process_118,98.84594726,4,,,
process_133,25.64945342,10,,,
process_123,96.3520503,3,,,
process_129,50.36848189,2,,,
process_138,17.66892435,3,,,
process_134,46.14907617,7,,,
process_139,11.7760171,9,,,
