Process,Time,,,Time,
process_1,10,2,,,
process_7,5.641274584,1,,Media,47.3914873
process_11,9.390969189,9,,Error típico,1.853598269
process_12,10.06544569,5,,Mediana,46.88015627
process_8,18.59274838,7,,Moda,49
process_2,29.99437268,8,,Desviación estándar,22.70184973
process_4,35.91123179,7,,Varianza de la muestra,515.3739812
process_3,39.93998882,2,,Curtosis,-0.213205929
process_5,41.85632727,1,,Coeficiente de asimetría,0.437257284
process_0,46.88015627,3,,Rango,101.3587254
process_13,29.8260394,9,,Mínimo,5.641274584
process_15,31.59245525,8,,Máximo,107
process_10,45.43262929,4,,Suma,7108.723094
process_9,47.23751188,8,,Cuenta,150
process_17,37,9,,,
process_22,33.88015627,1,,,
process_26,17.88015627,9,,,
process_14,51.46454068,10,,,
process_16,49.23092899,7,,,
process_6,66.6664743,4,,,
process_18,49,3,,,
process_24,33.11984373,10,,,
process_19,55.11984373,6,,,
process_33,16,4,,,
process_21,61,3,,,
process_27,35,9,,,
process_35,15,5,,,
process_28,33.88015627,8,,,
process_36,15.88015627,8,,,
process_23,60.88015627,7,,,
process_20,77,10,,,
process_38,15.88015627,10,,,
process_39,16,2,,,
process_43,17.11984373,5,,,
process_25,69.88015627,9,,,
process_29,49,9,,,
process_30,52,6,,,
process_31,54.88015627,9,,,
process_37,38,5,,,
process_50,17.11984373,5,,,
process_40,40,5,,,
process_34,61.88015627,2,,,
process_53,18.11984373,9,,,
process_44,42,9,,,
process_32,78.88015627,8,,,
process_42,57,5,,,
process_51,37,5,,,
process_41,59.11984373,8,,,
process_45,52,1,,,
process_52,35,10,,,
process_48,56,1,,,
process_47,57.11984373,9,,,
process_46,58,8,,,
process_49,54.88015627,6,,,
process_55,38.88015627,7,,,
process_64,18,2,,,
process_60,34.11984373,3,,,
process_57,39,10,,,
process_61,32.11984373,7,,,
process_70,17.11984373,9,,,
process_63,35.11984373,9,,,
process_65,38.88015627,9,,,
process_77,22,1,,,
process_58,67,5,,,
process_54,87,4,,,
process_68,46,2,,,
process_67,46.88015627,5,,,
process_80,26,8,,,
process_62,63.11984373,2,,,
process_75,43,8,,,
process_56,90,4,,,
process_74,45.88015627,5,,,
process_76,45,1,,,
process_78,45,4,,,
process_59,88.11984373,6,,,
process_86,21.11984373,7,,,
process_69,71,10,,,
process_71,67,2,,,
process_89,18.88015627,5,,,
process_82,49,9,,,
process_92,20.88015627,8,,,
process_84,39.88015627,1,,,
process_79,63.88015627,10,,,
process_66,94.88015627,6,,,
process_83,44.88015627,4,,,
process_97,21.11984373,4,,,
process_81,76.88015627,2,,,
process_91,45,2,,,
process_72,101,2,,,
process_105,27,4,,,
process_73,105,2,,,
process_90,56.88015627,5,,,
process_94,50,3,,,
process_93,51.88015627,7,,,
process_95,47.11984373,10,,,
process_99,47.11984373,1,,,
process_85,80.11984373,6,,,
process_103,50,3,,,
process_111,24,6,,,
process_106,56.11984373,1,,,
process_113,24.88015627,10,,,
process_115,24.88015627,10,,,
process_108,62.11984373,1,,,
process_87,98,6,,,
process_98,77,5,,,
process_96,81.11984373,2,,,
process_88,103.8801563,4,,,
process_100,77.11984373,8,,,
process_101,80,2,,,
process_119,18.11984373,4,,,
process_102,82,2,,,
process_107,83,5,,,
process_114,49,3,,,
process_109,85,2,,,
process_117,48.88015627,8,,,
process_125,20.11984373,10,,,
process_112,67,1,,,
process_127,16.88015627,9,,,
process_110,78,9,,,
process_128,15,5,,,
process_121,40,5,,,
process_129,17.11984373,2,,,
process_132,15.11984373,4,,,
process_104,107,9,,,
process_116,75,3,,,
process_124,49.88015627,3,,,
process_118,64,8,,,
process_126,49,7,,,
process_120,63.11984373,3,,,
process_122,66.11984373,3,,,
process_123,65.88015627,10,,,
process_131,40.11984373,3,,,
process_142,22,2,,,
process_136,41.11984373,10,,,
process_137,42,3,,,
process_146,21.88015627,1,,,
process_138,43,4,,,
process_130,58,4,,,
process_134,56.11984373,4,,,
process_133,62.88015627,9,,,
process_135,60,9,,,
process_140,50.11984373,8,,,
process_139,53.88015627,5,,,
process_147,34.88015627,8,,,
process_141,50.11984373,10,,,
process_145,45,5,,,
process_144,53,2,,,
process_143,53.11984373,1,,,
process_149,32,7,,,
process_148,39.11984373,10,,,
