Process,Time,,,Time,
process_1,10,2,,,
process_7,5.641274584,1,,Media,44.3024372
process_11,9.390969189,9,,Error típico,2.093121995
process_12,10.06544569,5,,Mediana,43
process_8,18.59274838,7,,Moda,61
process_2,29.99437268,8,,Desviación estándar,20.93121995
process_4,35.91123179,7,,Varianza de la muestra,438.1159685
process_3,39.93998882,2,,Curtosis,-0.0616171
process_5,41.85632727,1,,Coeficiente de asimetría,0.44850209
process_0,46.88015627,3,,Rango,91.47856915
process_13,29.8260394,9,,Mínimo,5.641274584
process_15,31.59245525,8,,Máximo,97.11984373
process_10,45.43262929,4,,Suma,4430.24372
process_9,47.23751188,8,,Cuenta,100
process_17,37,9,,,
process_22,33.88015627,1,,,
process_26,17.88015627,9,,,
process_14,51.46454068,10,,,
process_16,49.23092899,7,,,
process_6,66.6664743,4,,,
process_18,49,3,,,
process_24,33.11984373,10,,,
process_19,55.11984373,6,,,
process_33,16,4,,,
process_21,61,3,,,
process_27,35,9,,,
process_35,15,5,,,
process_28,33.88015627,8,,,
process_36,15.88015627,8,,,
process_23,60.88015627,7,,,
process_20,77,10,,,
process_38,15.88015627,10,,,
process_39,16,2,,,
process_43,17.11984373,5,,,
process_25,69.88015627,9,,,
process_29,49,9,,,
process_30,52.88015627,6,,,
process_31,54,9,,,
process_37,38.88015627,5,,,
process_40,38,5,,,
process_50,18,5,,,
process_53,17,9,,,
process_34,66.88015627,2,,,
process_44,38,9,,,
process_32,80.88015627,8,,,
process_51,35.11984373,5,,,
process_41,58.11984373,8,,,
process_42,58.11984373,5,,,
process_52,34,10,,,
process_47,53,9,,,
process_48,53.88015627,1,,,
process_45,61,1,,,
process_49,51,6,,,
process_46,61,8,,,
process_64,19.88015627,2,,,
process_55,42,7,,,
process_57,36,10,,,
process_60,45,3,,,
process_61,36,7,,,
process_70,18.11984373,9,,,
process_65,36,9,,,
process_63,41.88015627,9,,,
process_58,61,5,,,
process_54,79.88015627,4,,,
process_77,18.11984373,1,,,
process_67,46,5,,,
process_68,50,2,,,
process_62,60.88015627,2,,,
process_80,25,8,,,
process_74,47,5,,,
process_75,53.88015627,8,,,
process_76,43.11984373,1,,,
process_59,89.11984373,6,,,
process_56,97.11984373,4,,,
process_78,45.11984373,4,,,
process_86,21,7,,,
process_69,69.88015627,10,,,
process_89,19,5,,,
process_82,47.11984373,9,,,
process_71,71,2,,,
process_84,44,1,,,
process_83,44.11984373,4,,,
process_92,21.88015627,8,,,
process_66,97.11984373,6,,,
process_97,25,4,,,
process_79,71,10,,,
process_81,69.11984373,2,,,
process_72,91.88015627,2,,,
process_91,38,2,,,
process_85,65.11984373,6,,,
process_90,39,5,,,
process_73,94,2,,,
process_95,35,10,,,
process_93,37.88015627,7,,,
process_94,40,3,,,
process_99,34.88015627,1,,,
process_87,62.11984373,6,,,
process_96,46,2,,,
process_88,64.11984373,4,,,
process_98,42.88015627,5,,,
