Process,Time,,,Time,
process_1,20.11984373,2,,,
process_7,15.76111832,1,,Media,161.6997597
process_8,16.73534311,9,,Error típico,6.244590384
process_19,51.76660961,7,,Mediana,164
process_20,52.3091291,6,,Moda,87
process_25,64.50077725,3,,Desviación estándar,76.48030046
process_2,110.9943727,8,,Varianza de la muestra,5849.236359
process_3,122.9399888,2,,Curtosis,-0.669800863
process_10,121.641924,9,,Coeficiente de asimetría,0.29429681
process_11,121.1992667,9,,Rango,333.7542742
process_14,122.1799498,3,,Mínimo,15.76111832
process_4,144.9112318,7,,Máximo,349.5153925
process_16,127.2953245,9,,Suma,24254.96395
process_5,151.976171,1,,Cuenta,150
process_38,87,4,,,
process_40,90,5,,,
process_23,145.5792546,1,,,
process_0,174,3,,,
process_41,84,2,,,
process_27,146.2763332,9,,,
process_9,172.9360134,4,,,
process_28,155.7580551,10,,,
process_43,77,10,,,
process_44,80,2,,,
process_35,176.5169785,7,,,
process_45,85,9,,,
process_13,208.7334167,7,,,
process_12,212.7750768,4,,,
process_6,222.6664743,4,,,
process_47,83,2,,,
process_15,215.0511046,6,,,
process_18,218.0446582,1,,,
process_17,219.9338258,9,,,
process_51,83,4,,,
process_52,86,1,,,
process_21,230.7311631,3,,,
process_22,232.8988845,6,,,
process_29,237.1434756,5,,,
process_26,243.8031429,4,,,
process_55,86,9,,,
process_56,87,7,,,
process_42,164,5,,,
process_32,241.4436633,1,,,
process_30,244.204569,1,,,
process_31,245.673687,9,,,
process_34,244.1804215,9,,,
process_33,247.4033643,10,,,
process_58,80,2,,,
process_59,83,5,,,
process_60,80,5,,,
process_46,172,8,,,
process_67,87,8,,,
process_49,173,2,,,
process_68,82,5,,,
process_50,171,9,,,
process_37,262,6,,,
process_24,312.3639441,10,,,
process_39,268,2,,,
process_73,80,2,,,
process_74,83,3,,,
process_79,85,9,,,
process_80,85,7,,,
process_57,165,3,,,
process_63,163,7,,,
process_36,349.5153925,9,,,
process_87,84,1,,,
process_48,266,6,,,
process_90,88,8,,,
process_91,88,3,,,
process_54,258,4,,,
process_53,259,9,,,
process_75,166,5,,,
process_76,169,5,,,
process_94,78,6,,,
process_77,173,5,,,
process_81,178,3,,,
process_83,172,9,,,
process_84,169,5,,,
process_66,264,2,,,
process_86,170,1,,,
process_85,171,8,,,
process_88,172,1,,,
process_102,82,6,,,
process_70,255,6,,,
process_71,253,2,,,
process_103,81,8,,,
process_72,248,9,,,
process_92,167,9,,,
process_105,74,5,,,
process_93,171,8,,,
process_108,76,10,,,
process_97,163,2,,,
process_96,166,7,,,
process_78,258,10,,,
process_98,164,2,,,
process_111,72,1,,,
process_82,258,10,,,
process_64,320,4,,,
process_61,330,1,,,
process_100,161,6,,,
process_65,325,7,,,
process_62,336,3,,,
process_113,64,3,,,
process_114,64,6,,,
process_115,65,3,,,
process_116,66,5,,,
process_89,236,10,,,
process_101,145,4,,,
process_69,331,6,,,
process_121,67,3,,,
process_104,150,6,,,
process_106,144,10,,,
process_126,70,8,,,
process_109,147,1,,,
process_127,63,10,,,
process_129,68,3,,,
process_132,72,8,,,
process_137,76,1,,,
process_99,243,10,,,
process_138,81,6,,,
process_142,87,3,,,
process_117,144,10,,,
process_120,158,3,,,
process_122,158,4,,,
process_146,84,9,,,
process_147,85,5,,,
process_125,161,7,,,
process_107,235,2,,,
process_95,313,5,,,
process_110,237,5,,,
process_112,231,6,,,
process_134,156,4,,,
process_136,155,10,,,
process_139,151,5,,,
process_118,213,3,,,
process_123,224,7,,,
process_124,223,8,,,
process_130,210,5,,,
process_135,199,4,,,
process_133,207,6,,,
process_140,195,3,,,
process_141,197,10,,,
process_119,254,6,,,
process_144,188,1,,,
process_145,190,7,,,
process_128,230,6,,,
process_149,174,2,,,
process_131,231,3,,,
process_143,198,4,,,
process_148,177,3,,,
