Process,Time,,,Time,
process_1,20.11984373,2,,,
process_7,15.76111832,1,,Media,86.21895104
process_8,16.73534311,9,,Error típico,4.474086673
process_19,51,7,,Mediana,80.99718634
process_20,52,6,,Moda,42
process_2,80.99437268,8,,Desviación estándar,44.74086673
process_3,80.93998882,2,,Varianza de la muestra,2001.745156
process_10,73.64192405,9,,Curtosis,-0.893466213
process_11,73.19926674,9,,Coeficiente de asimetría,0.399649959
process_14,74.17994984,3,,Rango,176.2388817
process_4,96.91123179,7,,Mínimo,15.76111832
process_16,79.29532447,9,,Máximo,192
process_5,103.976171,1,,Suma,8621.895104
process_0,121,3,,Cuenta,100
process_25,40,3,,,
process_9,120.9360134,4,,,
process_13,117.7334167,7,,,
process_12,121.7750768,4,,,
process_15,119.0511046,6,,,
process_6,146.6664743,4,,,
process_17,132.9338258,9,,,
process_18,133.0446582,1,,,
process_23,90,1,,,
process_27,81,9,,,
process_28,82,10,,,
process_22,125,6,,,
process_21,132,3,,,
process_38,43,4,,,
process_26,134,4,,,
process_40,41,5,,,
process_41,42,2,,,
process_35,92,7,,,
process_29,133,5,,,
process_31,135,9,,,
process_30,137,1,,,
process_32,133,1,,,
process_43,40,10,,,
process_24,165,10,,,
process_44,41,2,,,
process_33,123,10,,,
process_45,37,9,,,
process_34,126,9,,,
process_47,35,2,,,
process_42,84,5,,,
process_37,120,6,,,
process_51,33,4,,,
process_52,36,1,,,
process_55,36,9,,,
process_56,31,7,,,
process_58,35,2,,,
process_59,37,5,,,
process_60,40,5,,,
process_39,140,2,,,
process_46,80,8,,,
process_49,78,2,,,
process_50,81,9,,,
process_36,170,9,,,
process_67,44,8,,,
process_68,44,5,,,
process_57,83,3,,,
process_73,41,2,,,
process_74,44,3,,,
process_48,130,6,,,
process_63,94,7,,,
process_53,123,9,,,
process_54,135,4,,,
process_79,43,9,,,
process_75,86,5,,,
process_76,89,5,,,
process_80,45,7,,,
process_77,87,5,,,
process_66,139,2,,,
process_61,175,1,,,
process_70,130,6,,,
process_71,134,2,,,
process_62,180,3,,,
process_72,132,9,,,
process_87,39,1,,,
process_89,42,3,,,
process_90,38,4,,,
process_81,93,3,,,
process_65,177,7,,,
process_64,192,4,,,
process_78,133,10,,,
process_69,175,6,,,
process_83,69,9,,,
process_84,70,6,,,
process_93,33,6,,,
process_85,66,8,,,
process_94,28,6,,,
process_86,68,1,,,
process_88,71,1,,,
process_82,125,10,,,
process_92,58,9,,,
process_96,42,7,,,
process_98,42,5,,,
process_97,46,2,,,
process_91,81,7,,,
process_99,50,9,,,
process_95,66,5,,,
