Process,Time,,,Time,
process_1,20.11984373,2,,,
process_7,15.76111832,1,,Media,163.7596395
process_8,16.73534311,9,,Error típico,7.555384254
process_19,51.76660961,7,,Mediana,164.5
process_20,52.3091291,6,,Moda,80
process_25,64.50077725,3,,Desviación estándar,75.55384254
process_2,110.9943727,8,,Varianza de la muestra,5708.383123
process_3,122.9399888,2,,Curtosis,-0.836303314
process_10,121.641924,9,,Coeficiente de asimetría,0.162849633
process_11,121.1992667,9,,Rango,323.7542742
process_14,122.1799498,3,,Mínimo,15.76111832
process_4,144.9112318,7,,Máximo,339.5153925
process_16,127.2953245,9,,Suma,16375.96395
process_5,151.976171,1,,Cuenta,100
process_38,87,4,,,
process_40,90,5,,,
process_23,145.5792546,1,,,
process_0,174,3,,,
process_41,84,2,,,
process_27,149.2763332,9,,,
process_9,172.9360134,4,,,
process_28,155.7580551,10,,,
process_43,80,10,,,
process_44,83,2,,,
process_35,179.5169785,7,,,
process_45,88,9,,,
process_13,208.7334167,7,,,
process_12,212.7750768,4,,,
process_6,222.6664743,4,,,
process_47,83,2,,,
process_15,215.0511046,6,,,
process_17,218.9338258,9,,,
process_18,219.0446582,1,,,
process_51,83,4,,,
process_52,86,1,,,
process_21,230.7311631,3,,,
process_22,232.8988845,6,,,
process_26,240.8031429,4,,,
process_29,240.1434756,5,,,
process_55,86,9,,,
process_56,87,7,,,
process_42,164,5,,,
process_30,243.204569,1,,,
process_31,244.673687,9,,,
process_33,245.4033643,10,,,
process_32,248.4436633,1,,,
process_34,247.1804215,9,,,
process_58,77,2,,,
process_59,80,5,,,
process_60,80,5,,,
process_67,84,8,,,
process_46,173,8,,,
process_68,81,5,,,
process_49,180,2,,,
process_50,171,9,,,
process_37,262,6,,,
process_39,264,2,,,
process_24,315.3639441,10,,,
process_73,80,2,,,
process_74,80,3,,,
process_79,86,9,,,
process_80,84,7,,,
process_57,162,3,,,
process_36,339.5153925,9,,,
process_63,164,7,,,
process_87,81,1,,,
process_48,263,6,,,
process_90,85,8,,,
process_91,88,3,,,
process_53,253,9,,,
process_54,256,4,,,
process_75,166,5,,,
process_76,169,5,,,
process_94,81,6,,,
process_77,176,5,,,
process_81,177,3,,,
process_83,175,9,,,
process_84,165,5,,,
process_86,166,1,,,
process_85,167,8,,,
process_88,168,1,,,
process_66,264,2,,,
process_70,248,6,,,
process_71,246,2,,,
process_72,240,9,,,
process_93,158,8,,,
process_92,159,9,,,
process_78,230,10,,,
process_96,142,7,,,
process_97,145,2,,,
process_98,139,2,,,
process_82,229,10,,,
process_61,297,1,,,
process_62,301,3,,,
process_64,296,4,,,
process_65,296,7,,,
process_69,282,6,,,
process_89,195,10,,,
process_99,151,10,,,
process_95,166,5,,,
