Process,Time,,,Time,
process_1,20.11984373,2,,,
process_7,15.76111832,1,,Media,153.059279
process_8,16.73534311,9,,Error típico,9.66537309
process_19,51.76660961,7,,Mediana,149.6381666
process_20,52.3091291,6,,Moda,#N/D
process_25,64.50077725,3,,Desviación estándar,68.34450855
process_2,110.9943727,8,,Varianza de la muestra,4670.971849
process_3,122.9399888,2,,Curtosis,-0.988067043
process_10,121.641924,9,,Coeficiente de asimetría,-0.313078351
process_11,121.1992667,9,,Rango,241.6028258
process_14,122.1799498,3,,Mínimo,15.76111832
process_4,138.9112318,7,,Máximo,257.3639441
process_16,127.2953245,9,,Suma,7652.963949
process_38,86,4,,Cuenta,50
process_40,89,5,,,
process_5,161.976171,1,,,
process_23,145.5792546,1,,,
process_0,174,3,,,
process_41,81,2,,,
process_27,149.2763332,9,,,
process_9,172.9360134,4,,,
process_28,155.7580551,10,,,
process_35,167.5169785,7,,,
process_43,80,10,,,
process_44,83,2,,,
process_45,85,9,,,
process_13,208.7334167,7,,,
process_47,87,2,,,
process_12,216.7750768,4,,,
process_15,214.0511046,6,,,
process_18,217.0446582,1,,,
process_6,236.6664743,4,,,
process_17,222.9338258,9,,,
process_21,226.7311631,3,,,
process_22,225.8988845,6,,,
process_26,224.8031429,4,,,
process_29,227.1434756,5,,,
process_30,227.204569,1,,,
process_42,150,5,,,
process_31,229.673687,9,,,
process_32,230.4436633,1,,,
process_33,231.4033643,10,,,
process_34,232.1804215,9,,,
process_46,135,8,,,
process_49,132,2,,,
process_37,207,6,,,
process_39,209,2,,,
process_24,257.3639441,10,,,
process_36,247.5153925,9,,,
process_48,139,6,,,
