Process,Time
process_3,4.598423704830946,10
process_4,4.322220565969952,1
process_5,3.9767884133758304,9
process_6,4.2803478243253394,2
process_7,2.918245674859941,8
process_2,7.91178994740763,9
process_9,2.6476992143621843,5
process_0,12.663442975739837,9
process_1,13.0,6
process_11,3.4287404219275572,8
process_13,3.8585097065939387,4
process_14,4.743366280100911,9
process_12,6.068265043189051,7
process_8,9.85178819153718,2
process_15,3.0381705068630804,3
process_17,1.6356054014719312,9
process_10,13.464412823448606,5
process_18,4.133247145059446,10
process_19,3.3915123392878854,1
process_20,3.9206426775283347,1
process_21,4.183847114227927,2
process_16,7.769355232058622,8
process_24,3.2923387384622202,7
process_28,5.178040142943384,8
process_22,10.69280592763499,7
process_29,6.7844853423776,5
process_23,12.401974765628285,1
process_31,7.087260068802255,4
process_34,8.082832190239639,1
process_35,8.603539241611756,9
process_37,10.586556847029584,6
process_38,10.507166159668436,5
process_27,18.192563275647075,2
process_39,9.486598448114869,6
process_25,20.52970940183165,4
process_26,19.744939049432926,7
process_40,10.628156662407726,3
process_30,20.277181165344686,6
process_43,11.225900957073648,10
process_32,20.965005276585654,7
process_33,21.207082676952137,9
process_44,10.184203729174719,5
process_36,20.29155089185998,6
process_46,9.191203952122898,2
process_47,9.983044954417451,3
process_48,10.383554555857614,3
process_49,10.14900000751706,9
process_41,20.211280498971043,10
process_45,13.637671770525984,1
process_42,19.68846237938405,2
